locality,region,pop,proper
alabaster,al,33873,Alabaster
albertville,al,22726,Albertville
anniston,al,21182,Anniston
athens,al,28661,Athens
auburn,al,80006,Auburn
bessemer,al,25264,Bessemer
birmingham,al,196910,Birmingham
daphne,al,29670,Daphne
decatur,al,57922,Decatur
dothan,al,71235,Dothan
enterprise,al,29767,Enterprise
fairhope,al,23859,Fairhope
florence,al,41690,Florence
foley,al,23577,Foley
gadsden,al,33335,Gadsden
helena,al,21862,Helena
homewood,al,27864,Homewood
hoover,al,92435,Hoover
huntsville,al,221933,Huntsville
madison,al,59785,Madison
mobile,al,183289,Mobile
montgomery,al,196986,Montgomery
mountain-brook,al,21955,Mountain Brook
northport,al,31004,Northport
opelika,al,32787,Opelika
oxford,al,22002,Oxford
pelham,al,24755,Pelham
phenix-city,al,38267,Phenix City
prattville,al,38776,Prattville
trussville,al,26520,Trussville
tuscaloosa,al,110602,Tuscaloosa
vestavia-hills,al,38292,Vestavia Hills
anchorage,ak,287145,Anchorage
fairbanks,ak,32107,Fairbanks
juneau-and,ak,31685,Juneau and
apache-junction,az,40173,Apache Junction
avondale,az,91617,Avondale
buckeye,az,105567,Buckeye
bullhead-city,az,42920,Bullhead City
casa-grande,az,60032,Casa Grande
chandler,az,280711,Chandler
el-mirage,az,35985,El Mirage
flagstaff,az,75907,Flagstaff
florence,az,24795,Florence
fountain-hills,az,23785,Fountain Hills
gilbert,az,275346,Gilbert
glendale,az,252136,Glendale
goodyear,az,105406,Goodyear
kingman,az,34918,Kingman
lake-havasu-city,az,58926,Lake Havasu City
marana,az,55962,Marana
maricopa,az,66290,Maricopa
mesa,az,512498,Mesa
oro-valley,az,48226,Oro Valley
peoria,az,197866,Peoria
phoenix,az,1644409,Phoenix
prescott,az,47603,Prescott
prescott-valley,az,49075,Prescott Valley
queen-creek,az,70734,Queen Creek
sahuarita,az,35638,Sahuarita
san-luis,az,35770,San Luis
scottsdale,az,243050,Scottsdale
sierra-vista,az,45439,Sierra Vista
surprise,az,154198,Surprise
tempe,az,185950,Tempe
tucson,az,546574,Tucson
yuma,az,98527,Yuma
bella-vista,ar,31733,Bella Vista
benton,ar,36593,Benton
bentonville,ar,57868,Bentonville
bryant,ar,21501,Bryant
cabot,ar,26844,Cabot
centerton,ar,21525,Centerton
conway,ar,67617,Conway
fayetteville,ar,99285,Fayetteville
fort-smith,ar,89992,Fort Smith
hot-springs,ar,38109,Hot Springs
jacksonville,ar,29130,Jacksonville
jonesboro,ar,79876,Jonesboro
little-rock,ar,202864,Little Rock
north-little-rock,ar,64627,North Little Rock
paragould,ar,30178,Paragould
pine-bluff,ar,39495,Pine Bluff
rogers,ar,72999,Rogers
russellville,ar,29133,Russellville
searcy,ar,23009,Searcy
sherwood,ar,33082,Sherwood
springdale,ar,87672,Springdale
texarkana,ar,29306,Texarkana
van-buren,ar,23755,Van Buren
west-memphis,ar,23795,West Memphis
adelanto,ca,38783,Adelanto
alameda,ca,76040,Alameda
alhambra,ca,80259,Alhambra
aliso-viejo,ca,51221,Aliso Viejo
american-canyon,ca,21432,American Canyon
anaheim,ca,344461,Anaheim
antioch,ca,115264,Antioch
apple-valley,ca,75867,Apple Valley
arcadia,ca,54857,Arcadia
atascadero,ca,29684,Atascadero
atwater,ca,32372,Atwater
azusa,ca,48824,Azusa
bakersfield,ca,410647,Bakersfield
baldwin-park,ca,69455,Baldwin Park
banning,ca,30683,Banning
barstow,ca,25231,Barstow
beaumont,ca,56349,Beaumont
bell,ca,32466,Bell
bell-gardens,ca,37927,Bell Gardens
bellflower,ca,76405,Bellflower
belmont,ca,26773,Belmont
benicia,ca,26567,Benicia
berkeley,ca,118950,Berkeley
beverly-hills,ca,31326,Beverly Hills
brawley,ca,26862,Brawley
brea,ca,46993,Brea
brentwood,ca,66127,Brentwood
buena-park,ca,82450,Buena Park
burbank,ca,103920,Burbank
burlingame,ca,30559,Burlingame
calabasas,ca,22491,Calabasas
calexico,ca,38249,Calexico
camarillo,ca,70282,Camarillo
campbell,ca,42286,Campbell
carlsbad,ca,114160,Carlsbad
carson,ca,92388,Carson
cathedral-city,ca,52494,Cathedral City
ceres,ca,48988,Ceres
cerritos,ca,47475,Cerritos
chico,ca,101299,Chico
chino,ca,93140,Chino
chino-hills,ca,77949,Chino Hills
chula-vista,ca,279170,Chula Vista
citrus-heights,ca,86433,Citrus Heights
claremont,ca,36001,Claremont
clovis,ca,124556,Clovis
coachella,ca,42835,Coachella
colton,ca,53918,Colton
compton,ca,91988,Compton
concord,ca,122625,Concord
corcoran,ca,22837,Corcoran
corona,ca,159567,Corona
costa-mesa,ca,109521,Costa Mesa
covina,ca,49489,Covina
cudahy,ca,21969,Cudahy
culver-city,ca,39515,Culver City
cupertino,ca,57856,Cupertino
cypress,ca,49243,Cypress
daly-city,ca,100007,Daly City
dana-point,ca,32465,Dana Point
danville,ca,42732,Danville
davis,ca,67048,Davis
delano,ca,50843,Delano
desert-hot-springs,ca,33091,Desert Hot Springs
diamond-bar,ca,52855,Diamond Bar
dinuba,ca,25285,Dinuba
downey,ca,109934,Downey
duarte,ca,21807,Duarte
dublin,ca,72060,Dublin
east-palo-alto,ca,28383,East Palo Alto
eastvale,ca,71024,Eastvale
el-cajon,ca,104414,El Cajon
el-centro,ca,43811,El Centro
el-cerrito,ca,25583,El Cerrito
el-monte,ca,105312,El Monte
el-paso-de-robles-paso-robles,ca,31544,El Paso de Robles (Paso Robles)
elk-grove,ca,177558,Elk Grove
encinitas,ca,61369,Encinitas
escondido,ca,150270,Escondido
eureka,ca,26129,Eureka
fairfield,ca,119338,Fairfield
folsom,ca,83269,Folsom
fontana,ca,212475,Fontana
foster-city,ca,32026,Foster City
fountain-valley,ca,55930,Fountain Valley
fremont,ca,223871,Fremont
fresno,ca,545567,Fresno
fullerton,ca,140541,Fullerton
galt,ca,25411,Galt
garden-grove,ca,169254,Garden Grove
gardena,ca,58843,Gardena
gilroy,ca,58005,Gilroy
glendale,ca,189221,Glendale
glendora,ca,50824,Glendora
goleta,ca,32432,Goleta
hanford,ca,58470,Hanford
hawthorne,ca,84563,Hawthorne
hayward,ca,156754,Hayward
hemet,ca,90689,Hemet
hercules,ca,25920,Hercules
hesperia,ca,100744,Hesperia
highland,ca,56705,Highland
hollister,ca,44218,Hollister
huntington-beach,ca,194310,Huntington Beach
huntington-park,ca,52633,Huntington Park
imperial,ca,21233,Imperial
imperial-beach,ca,25791,Imperial Beach
indio,ca,91980,Indio
inglewood,ca,103621,Inglewood
irvine,ca,313685,Irvine
jurupa-valley,ca,107609,Jurupa Valley
la-habra,ca,61978,La Habra
la-mesa,ca,60360,La Mesa
la-mirada,ca,46323,La Mirada
la-puente,ca,36636,La Puente
la-quinta,ca,38392,La Quinta
la-verne,ca,30380,La Verne
lafayette,ca,25044,Lafayette
laguna-beach,ca,22583,Laguna Beach
laguna-hills,ca,30568,Laguna Hills
laguna-niguel,ca,63742,Laguna Niguel
lake-elsinore,ca,71898,Lake Elsinore
lake-forest,ca,85638,Lake Forest
lakewood,ca,79063,Lakewood
lancaster,ca,169185,Lancaster
lathrop,ca,33670,Lathrop
lawndale,ca,30576,Lawndale
lemon-grove,ca,27224,Lemon Grove
lemoore,ca,27185,Lemoore
lincoln,ca,52534,Lincoln
livermore,ca,84701,Livermore
lodi,ca,67258,Lodi
loma-linda,ca,25129,Loma Linda
lomita,ca,20053,Lomita
lompoc,ca,43736,Lompoc
long-beach,ca,451307,Long Beach
los-altos,ca,30424,Los Altos
los-angeles,ca,3822238,Los Angeles
los-banos,ca,47044,Los Banos
los-gatos,ca,32402,Los Gatos
lynwood,ca,64086,Lynwood
madera,ca,68050,Madera
manhattan-beach,ca,34137,Manhattan Beach
manteca,ca,86928,Manteca
marina,ca,22503,Marina
martinez,ca,36447,Martinez
maywood,ca,24122,Maywood
menifee,ca,109399,Menifee
menlo-park,ca,32295,Menlo Park
merced,ca,91563,Merced
millbrae,ca,22071,Millbrae
milpitas,ca,77738,Milpitas
mission-viejo,ca,91776,Mission Viejo
modesto,ca,218069,Modesto
monrovia,ca,36893,Monrovia
montclair,ca,37714,Montclair
montebello,ca,60569,Montebello
monterey,ca,29571,Monterey
monterey-park,ca,58554,Monterey Park
moorpark,ca,35514,Moorpark
moreno-valley,ca,211924,Moreno Valley
morgan-hill,ca,44973,Morgan Hill
mountain-view,ca,81059,Mountain View
murrieta,ca,113783,Murrieta
napa,ca,78315,Napa
national-city,ca,55550,National City
newark,ca,47312,Newark
newport-beach,ca,83993,Newport Beach
norco,ca,25042,Norco
norwalk,ca,98537,Norwalk
novato,ca,52184,Novato
oakdale,ca,23176,Oakdale
oakland,ca,430553,Oakland
oakley,ca,44688,Oakley
oceanside,ca,172199,Oceanside
ontario,ca,179061,Ontario
orange,ca,136178,Orange
oroville,ca,20041,Oroville
oxnard,ca,200415,Oxnard
pacifica,ca,36517,Pacifica
palm-desert,ca,51583,Palm Desert
palm-springs,ca,45223,Palm Springs
palmdale,ca,163463,Palmdale
palo-alto,ca,66010,Palo Alto
paramount,ca,51653,Paramount
pasadena,ca,134211,Pasadena
patterson,ca,23833,Patterson
perris,ca,80263,Perris
petaluma,ca,58652,Petaluma
pico-rivera,ca,59781,Pico Rivera
